player,score
"['M_Anh', 'NA_ifelse', 'Phongcu', 'random']","[0, 2, 4, 8]"
"['PhongMinhAnh', 'Phongcu', 'random', 'M_Anh']","[0, 4, 5, 8]"
"['Phongcu', 'NA_ifelse', 'PhongMinhAnh', 'random']","[0, 5, 5, 8]"
"['M_Anh', 'Hieu', 'NA_RL', 'NA_ifelse']","[0, 3, 4, 4]"
"['PhongMinhAnh', 'M_Anh', 'NA_RL', 'Hieu']","[0, 2, 3, 3]"
"['Hieu', 'NA_RL', 'random', 'M_Anh']","[0, 4, 8, 11]"
"['Phongcu', 'Hieu', 'M_Anh', 'NA_RL']","[0, 2, 7, 10]"
"['NA_ifelse', 'NA_RL', 'PhongMinhAnh', 'Hieu']","[0, 5, 5, 8]"
"['NA_ifelse', 'random', 'NA_RL', 'Hieu']","[0, 5, 7, 7]"
"['NA_RL', 'Hieu', 'Phongcu', 'NA_ifelse']","[0, 2, 2, 7]"
"['PhongMinhAnh', 'NA_RL', 'random', 'Hieu']","[0, 4, 4, 6]"
"['Phongcu', 'PhongMinhAnh', 'Hieu', 'NA_RL']","[0, 2, 4, 7]"
"['Phongcu', 'random', 'Hieu', 'NA_RL']","[0, 3, 6, 10]"
"['M_Anh', 'NA_ifelse', 'NA_RL', 'PhongMinhAnh']","[0, 2, 5, 7]"
"['M_Anh', 'NA_ifelse', 'NA_RL', 'random']","[0, 3, 6, 8]"
"['M_Anh', 'NA_ifelse', 'NA_RL', 'Phongcu']","[0, 1, 4, 6]"
"['M_Anh', 'PhongMinhAnh', 'NA_RL', 'random']","[0, 4, 6, 7]"
"['PhongMinhAnh', 'Phongcu', 'M_Anh', 'NA_RL']","[0, 1, 2, 6]"
"['Phongcu', 'M_Anh', 'NA_RL', 'random']","[0, 1, 3, 3]"
"['NA_ifelse', 'PhongMinhAnh', 'NA_RL', 'random']","[0, 4, 7, 11]"
"['Phongcu', 'NA_RL', 'PhongMinhAnh', 'NA_ifelse']","[0, 1, 3, 5]"
"['NA_ifelse', 'Phongcu', 'random', 'NA_RL']","[0, 1, 3, 6]"
"['Phongcu', 'PhongMinhAnh', 'random', 'NA_RL']","[0, 2, 2, 5]"
"['M_Anh', 'Hieu', 'PhongMinhAnh', 'NA_ifelse']","[0, 1, 2, 3]"
"['Hieu', 'M_Anh', 'NA_ifelse', 'random']","[0, 2, 10, 11]"
"['Hieu', 'NA_ifelse', 'M_Anh', 'Phongcu']","[0, 3, 4, 6]"
"['M_Anh', 'Hieu', 'random', 'PhongMinhAnh']","[0, 11, 11, 12]"
"['Hieu', 'Phongcu', 'M_Anh', 'PhongMinhAnh']","[0, 2, 3, 5]"
"['Phongcu', 'Hieu', 'M_Anh', 'random']","[0, 3, 4, 6]"
"['Hieu', 'PhongMinhAnh', 'random', 'NA_ifelse']","[0, 2, 3, 8]"
"['NA_ifelse', 'PhongMinhAnh', 'Phongcu', 'Hieu']","[0, 2, 2, 8]"
"['NA_ifelse', 'random', 'Phongcu', 'Hieu']","[0, 1, 1, 2]"
"['Hieu', 'PhongMinhAnh', 'Phongcu', 'random']","[0, 1, 3, 7]"
"['M_Anh', 'NA_ifelse', 'PhongMinhAnh', 'random']","[0, 2, 2, 7]"
"['PhongMinhAnh', 'M_Anh', 'NA_ifelse', 'Phongcu']","[0, 4, 5, 6]"
"['M_Anh', 'NA_ifelse', 'random', 'Phongcu']","[0, 2, 5, 8]"
"['M_Anh', 'Phongcu', 'random', 'PhongMinhAnh']","[0, 1, 4, 5]"
"['Phongcu', 'NA_ifelse', 'PhongMinhAnh', 'random']","[0, 2, 6, 12]"
"['M_Anh', 'Hieu', 'NA_ifelse', 'NA_RL']","[0, 1, 8, 9]"
"['Hieu', 'NA_RL', 'PhongMinhAnh', 'M_Anh']","[0, 6, 9, 11]"
"['Hieu', 'M_Anh', 'random', 'NA_RL']","[0, 2, 2, 5]"
"['Phongcu', 'Hieu', 'M_Anh', 'NA_RL']","[0, 1, 1, 3]"
